district,total,health_issue.chronic,Number_of_health_issue.chronic,above64,Number_of_above64,above64_with_chronic,Number_of_above64_with_chronic,above64_or_chronic,Number_of_above64_or_chronic,access_healthcare_hour,Number_of_access_healthcare_hour,access_healthcare_services_hour,Number_of_access_healthcare_services_hour,district_iom,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode
baquba,3820,0.12913253109988287,493.2862688015526,0.023613610605768633,90.20399251403617,0.022061937023984624,84.27659943162126,0.1306842046816669,499.2136618839675,1,3820,0.4507472808582802,1721.8546128786304,Ba'quba,Baquba,بعقوبة,IQG10Q04,Diyala,ديالى,IQG10
erbil,32314,0.10577053899487193,3417.8691970802915,0.01992047920293073,643.7103649635036,0.00933162985407634,301.54228710462286,0.11635938834372632,3760.037274939172,0.9998502197190072,32309.16,0.31854606117857814,10293.497420924574,Erbil,Erbil,اربيل,IQG11Q02,Erbil,اربيل,IQG11
kalar,2564,0.12762990501558652,327.24307645996385,0.027362787768584796,70.15818783865141,0.017922872243005313,45.954244431065625,0.137069820541166,351.44701986754967,1,2564,0.33020772968185436,846.6526189042746,Kalar,Kalar,كلار,IQG06Q06,Al-Sulaymaniyah,السليمانية,IQG06
khanaqin,19114,0.13474920018641282,2575.5962123630948,0.028358980188694954,542.0535473267154,0.027807456874173103,531.5117306929446,0.13530072350093467,2586.138028996865,0.9694656036329132,18530.365547839505,0.6301357487851321,12044.414702279015,Khanaqin,Khanaqin,خانقين,IQG10Q05,Diyala,ديالى,IQG10
kirkuk,42516,0.15348337189020375,6525.499039283903,0.023928163498489058,1017.3297993017608,0.022088649934203584,939.1210406025996,0.15532288545448925,6603.707797983065,0.9861565810137493,41927.43319838056,0.48184713457204503,20486.212773465068,Kirkuk,Kirkuk,كركوك,IQG13Q04,Kirkuk,كركوك,IQG13
makhmour,1664,0.10803324099722991,179.76731301939057,0.019390581717451522,32.26592797783933,0.01662049861495845,27.65650969529086,0.11080332409972299,184.37673130193906,1,1664,0.24376731301939059,405.6288088642659,Makhmur,Makhmour,مخمور,IQG11Q04,Erbil,اربيل,IQG11
sumail,29533,0.12426143689832073,3669.813015918106,0.030466949339337766,899.7804148386623,0.024643800204865902,727.8053514503047,0.13008458603279258,3841.7880793064633,0.8683894549387706,25646.145772706714,0.16579132602909888,4896.315231617377,Sumel,Sumail,سميل,IQG09Q03,Duhok,دهوك,IQG09
tikrit,32780,0.17626338800553143,5777.91385882132,0.0328515241293425,1076.8729609598472,0.03256541880958949,1067.4944285783436,0.17654949332528444,5787.292391202824,1,32780,0.8002469152237066,26232.093881033103,Tikrit,Tikrit,تكريت,IQG16Q06,Salah Al-Din,صلاح الدين,IQG16
zakho,17404,0.1123336532270099,1955.0549007628804,0.02100308103780764,365.53762238200414,0.016717495133576222,290.9512853047606,0.11661923913124132,2029.641237840124,0.9145926137539441,15917.569849773643,0.3723470467135459,6480.328001002553,Zakho,Zakho,زاخو,IQG09Q04,Duhok,دهوك,IQG09
al.adhamiya,491,0.08952380952380952,43.95619047619047,0.005714285714285714,2.8057142857142856,0.0038095238095238095,1.8704761904761904,0.09142857142857143,44.89142857142857,1,491,0.8476190476190476,416.18095238095236,Adhamia,Al-Adhamiya,الاعظمية,IQG08Q01,Baghdad,بغداد,IQG08
al.baaj,7350,0.07031956654775587,516.8488141260057,0.018573567970705154,136.51572458468289,0.005171603277190094,38.01128408734719,0.08372153124127092,615.3532546233413,0.8921305786968428,6557.159753421794,0.2873658166641434,2112.138752481454,Al-Ba'aj,Al-Baaj,البعاج,IQG15Q02,Ninewa,نينوى,IQG15
al.basrah,287,0.13385826771653542,38.41732283464567,0.007874015748031496,2.2598425196850394,0.007874015748031496,2.2598425196850394,0.13385826771653542,38.41732283464567,1,287,0.8740157480314961,250.84251968503938,Basrah,Al-Basrah,البصرة,IQG02Q02,Al-Basrah,البصرة,IQG02
al.diwaniya,354,0.08517350157728706,30.15141955835962,0.012618296529968454,4.466876971608833,0.012618296529968454,4.466876971608833,0.08517350157728706,30.15141955835962,0.9621451104100947,340.5993690851735,0.6529968454258674,231.16088328075708,Diwaniya,Al-Diwaniya,الديوانية,IQG05Q02,Al-Qadissiya,القادسية,IQG05
